Tweet0,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,Tweet7,Tweet8,Tweet9,Tweet10,Tweet11,Tweet12,Tweet13,Tweet14,Tweet15,Tweet16,Tweet17,Tweet18,Tweet19,Tweet20
"@J_Sleek_21 @sydneytooRAW_  jaxson now has diabetes lmao","is not on! One from diabetes UK trird to invite herself in! Thankfully thr @macmillancancer took im busy (were eating) and didnt push","ugh Im just 100% sure that I have diabetes someone pls give me health insurance","I think Im getting diabetes soon !","RT @theresnohinsara: @HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new â€¦","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@cath_1994 walk in centres are a joke I got turned away when I went there suspecting I had diabetes! Get to a real hospital","@rodstreater80 my unhealthy lifestyle with diabetes in my family I lost 30 pounds &amp; gained muscle turned my life around #Motivationalmonday","@taraspratz feckang make this fuckery for my bday pwease. i will fn die bc i will get diabetes but itll be worth itðŸ‘Œ","@RyanPoptart Id leave there with diabetes.","@HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new endo, starting over!","@Abi_Coleman_ I couldve easily carried on eating more until I had diabetes..... Sooo good! X","@stephenfry I havent listened for years.  How is Walter Gabriels diabetes these days?","@dark_scone fuck it YOLO!  Seriously though I should cut down my sugar intake as diabetes runs in the family.","@EricaSedillo13 but no she has diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","Working at a cupcake shop has gotten me a few steps closer to having diabetes.","@dallasoops i am too i wanted to get out to sleep but i have diabetes so i cant","If I truly wanted to suffer the possible diabetes, Id just eat a whole gallon of ice cream to myself. Twice."
"@RoshanePrice what for diabetes?","could be nothing but the fact that i might have to get myself checked for diabetes makes me feel sick","@flochickenballs @_HollyEldred @GeorgeeyC your hairline has diabetes","RT @jess_uhh_leen: Would you like some coffee with your diabetes?","@SamanthaFaiers love you sam please follow me we can strong as every as I was diagnosed with diabetes not so long ago please follow me x","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","Stop RTing these fucking pages Im getting diabetes.","did someone honestly just use the line I think Im going to get diabetes.......you look sweet on me? #dodgychat #byepal","@FaraazKhan22 Ive been on the road for diabetes as soon as I left the womb its calm","I reckon a book about my misfortunes could sell well.. chapters can incude: jew nose, diabetes, athsma, smiley the ran over tortoise","My New Years resolutions were to stop hooking up with girls who have boyfriends, and stop hooking up with girls who have type 1 diabetes","ever just get mad at diabetes and u get a low bg and then refuse to eat bc ur mad but then realize ur accepting death so you panic","Im sorry Jemma... Sorry youve got diabetes","RT @rhoppins: @clnicholson2: Thank God bender week is over!ðŸ™ #pukeandrally #600lblife #diabetes","Like yeah she wears glasses because her type 1 diabetes made problems with her eyes","@driverRyanReed #DSDshirt is awesome! Im taking new steps to control my diabetes and joining the movement to Stop Diabetes!","See people in GroupMe be playing. My diabetes not having this.","RT @simplydaniellee: Hailey might as well have just bought diabetes at Kroger today","RT @Tommybaillie: The only time I wanna see anyone tweet about towie is if its informing me that Gemma has lost a leg to diabetes with a pâ€¦"
"Would you like some coffee with your diabetes?","It means you might have diabetes.","You know a kid kept making fun of my cousin for having diabetes so I slapped him in the face in front of all his classmates","Hating someone because theyre a certain color is like hating someone because theyre born with diabetes","@SamanthaFaiers keep smiling sam I was diagnosed with diabetes and my sisters cried saying they feel sorry for me please follow me loveuðŸ’—","@ally_millerxo Im sorry babe, I cant control my diabetes","Mind blowing that at one point in his life, Johnny Cash was taking towards 100 pills a day but diabetes was what finally killed him.","@BillieFaiers made me cry soo much ha love you bill my sisters was like that cried when I go diagnosed with diabetes xx","I have thoroughly given myself diabetes today","If you cant taste the diabetes, it aint sweet enough.","Studying diabetes just makes me wanna go workout so Im not sure how Im gonna get through this chapter","Going to start on the road to getting my health back, confidence, the love I had for myself. And also evicting/controlling diabetes, and MS.","@Nol_and1 one of these days you will lose a limb to type 2 diabetes","@For6et @IncrediblyEmma get type 2 diabetes I thought we were better than that","@need0approval: Im the self appointed diabetes police in my house. *diabetes and processed foods .","@KMcAllister4 I have diabetes.","If I havent developed diabetes by the time Im 30 Ill be very surprised! #somuchchocolate ðŸ«ðŸ«ðŸ«","HEALTH FACT: The estimated cost of treating diabetes and its complications in the world is estimated as $215-375 billion.","Hailey might as well have just bought diabetes at Kroger today"
"RT @GriffHoneycutt: 3 McDonalds meals in one weekend. I can feel the diabetes setting in","â€œ@c8fcjames: I heard someone off #towie is expecting, just assumed it was Gemma... Expecting type 2 diabetesâ€","The only time I wanna see anyone tweet about towie is if its informing me that Gemma has lost a leg to diabetes with a photo attached!","@TeriLichten sorry, #SoMe something we use in the diabetes online community as social media. :)","diabetes me","It just sucks having diabetes, cause when I get a low blood sugar, I HAVE to eat.","Does anyone know where I can volunteer to work with diabetes patients?","RT @tomhanks: Yep, I have #2 diabetes.  Type 1 is VERY SERIOUS!  Type 2 I can manage with good habits. I shall! Hanx","RT @GillesVance: If chubby cheeks werent so adorable, I wouldnt be so eager to stuff diabetes into children.","@maddieeberth well my diet consists mainly of cereal and mcdonalds so im continuously dying of diabetes lmfao","@SamanthaFaiers that scene omd made me cry so much stay strong my sister burst end out crying when I was diagnosed with diabetes","12 week program to attain &amp; sustain weight loss, blood sugar control and a1c reduction for those with type 1 diabetes","Being ill sucks, but because Ive got diabetes it fucks with my blood sugar as well so I feel doubly shit","@katiezaeh27 at least you wont end up with diabetes like everyone here...","@Marynom_ come lets go you strawberry, lets spend pessa on m&amp;ms till we have diabetes","He has diabetes...enough said...","Dancing in my room alone cause inactivity causes diabetes. Doing it for my limbs... someone get me off Web M.D. LOL","@jibawi1 Its too much to ask for. I dont want diabetes or high cholesterol. Its too much to ask from Arab.","RT @Pants_So_Short: See people in GroupMe be playing. My diabetes not having this."
"@SamanthaFaiers love u so much stay strong beautiful love u please follow me xxðŸ’— just been diagnosed with diabetes please follow me x","It s me diabetes?","American cake is basically diabetes waiting to happen.","@_____JAZZYYYY: @Louis__Michael lol I dont have diabetes lol I hope not","@shannamalcolm in bed twitching surrounded by chocolate trying not to pass out for diabetes. :)","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","Im the self appointed diabetes police in my house.","Diet so bad diabetes tryin to find you.","My leg is asleep...not because this is an uncomfortable position, but because the diabetes is setting in","RT @Louis__Michael: @_____JAZZYYYY: @Louis__Michael lol I dont have diabetes lol I hope not","THE AMOUNT OF FLECKING CHOCOLATE I ATE THIS WEEKEND. #diabetes","2 gym seshs a day keeps type 2 diabetes away","I wish I didnt have diabetes..","@JoshuaJSmith94 no I havent! Was thinking should get them involved in bas diabetes uk group!!","House of Cards Season 2 plot, summarized: Frank Eats Freddys BBQ every single day...can he perform as Vice President even with diabetes?","@EllieHurwood stop bragging about your diabetes","Injected tonight, bloody painful and got bubble on insulin under my skin, going down. #diabetes","Every 3 years my GP has to certify that I can drive. I am already reluctant to talk too freely about my diabetes for fear she wont do that","@clnicholson2: Thank God bender week is over!ðŸ™ #pukeandrally #600lblife #diabetes"
"@SamanthaFaiers love u my sisters started crying when I was diagnosed with diabetes , love u stay strong please follow me beautiful ðŸ’—ðŸ’—ðŸ­ðŸ˜”","my mom think i got diabetes.","RT @_____JAZZYYYY: @Louis__Michael lol I dont have diabetes","Today marks the five year anniversary for my diabetes","RT @ReaIWilIFerreII: Juan has 40 chocolate bars. He eats 35. What does Juan have now? Diabetes. Juan has diabetes.","He has diabetes...enough said...","RT @blakekemnitz: I would like to thank the red bull i shotgunned at 5am for diabetes...not my brightest moment #heartfailure","RT @mariennelouise: woke up to like super long message from biffle ok i cri much diabetes ðŸ’•","@SlaveOfAlWahhab @eaatthecakeanna its called diabetes","@VercaGinny people ask me should you be eating that? and all Im thinking is do you have diabetes? No. I am pretty sure I know what I can","If yall could stop making those stupid diabetes joke Id really appreciate it. None of you know how it is having this disease.#notagame","Glucose tolerance test for diabetes","Place is trash you can smell the diabetes in the air.....â€œ@SaNtAnAdaGrEaT: Golden Corral is alrite.. Had it once.â€","@TheEllenShow you know Lassiter wrote thatcabout his sonâ€™s type 1 diabetes right? Nemoâ€™s bad fin? His sonâ€™s T1D. Awesome. @SuperJules84","@MannyBravo_ save your energy to fight the diabetes!","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","You know how you feed horses sugar cubes because they like, have diabetes?","Feel kinda bad about not ring able to donate blood but diabetes ken","@diabetesalish awesome blog do you speak on diabetes at events also?"
"@SnowInCaliNarry yeah iknow&amp; once I searched what could happen without sleep and it come up with heart failure diabetes&amp; stuff &amp; im freaking","Have any #diabetics taken the Chromium-Vanadium Supplement for #diabetes ? Has it lowered your #bloodsugar?","RT @BiIIMurray: Juan has 40 chocolate bars. He eats 35. What does Juan have now? Diabetes. Juan has diabetes.","I also went to the doctor and he laughed when I asked to be checked for diabetes.. went home, nearly died. Id be a better doctor jheeze.","Mustve given myself diabetes tonight","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","My friend had all the symptoms of diabetes he went to a&amp;e and they never even took his blood.. they never do their job right omg.","Gemma angers me why cant she just get severe diabetes and die","I wish I could drink milkshakes erday without getting diabetes.","My dad is such a big baby when it comes to his diabetes ðŸ˜¡ suck it up I have it too #donewithmartha","I REALLY need to diet &amp; exercise more. I just feel like shit as I am, and pretty convinced that Im gonna end up with diabetes or something.","@iforkedharry we didnt have homework we had to research diabetes but  we didnt had to take notes or anything","RT @exchangerebekah: @IzabelZambrano if that was the least bit accurate I would be overly obese with all the different types of diabetes haâ€¦","I hope kaz gets type 2 diabetes I am gunna smack him in school tomorrow","one time i saw a man with a missing toe at walmart and i told my mom and she told me a lesson on diabetes","@driverRyanReed #DSDshirt is awesome! Im taking new steps to control my diabetes and joining the movement to Stop Diabetes!","my brother is getting a diabetes tattoo for me. dawhâ¤ï¸","i could possibly get diabetes","me: diabetes!!!"
"this bitch at starbucks talkin bout give her 10 pumps of caramel. like damn why dont you just order diabetes in a cup O_O","RT @stockejock: Hey Im a Girl Scout and this is crazy, but heres some Thin Mints and diabetes maybe.","If chubby cheeks werent so adorable, I wouldnt be so eager to stuff diabetes into children.","@kellybergin its like you have bipolar diabetes.","RT @f0lding_stars: So sick of having diabetes could I just have one day without this shit pls","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@Rachypants24 i will do, thankyou! Got to have the diabetes test tomorrow too:-( Xxx","Back into the maddening run of hopelessly high blood-sugar as my hip steroid shot gets dispersed. Bizarre to take triple+insulin. #diabetes","The current statistics indicate that 1 in 4 Americans now have pre-diabetes, this is clearly a worldwide socio-economic &amp; health crisis.","Theres no way in hell terio doesnt have diabetes","My brother brought back diabetes wrapped up in chocolate from Germany. No weapon shall prosper against me!","I heard someone off #towie is expecting, just assumed it was Gemma... Expecting type 2 diabetes","@Miexriir @AH_BrownMan Now I have diabetes. Thanks.","if what they say about cancer and diabetes skipping a generation is true, Im fucked.","@Star_Anise_LADA Yeah but could you IMAGINE how boring T1 diabetes would be if it was easily predictable?","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","â€œ@Flex_Santana: Place is trash you can smell the diabetes in the air..â€œ@SaNtAnAdaGrEaT: Golden Corral is alrite.. Had it once.â€â€","just got diagnosed with diabetes","@LanaDeIRex he blocked me bc i pointed out that sugar can give you diabetes"
"@MrZig85 tried to cover it? I explained that it WAS a diabetes joke","@xo_priscillaa fine. Ill just stick to fruits and non diabetes foods.","I think I got diabetes from that sweet tea. It taste like straight honey.","I have created diabetes on a plate","Youve had diabetes for years, you cant use it as an excuse any more","#KnowYourAnon i have diabetes. ive had it for 8 years.","@fratboyhaarry yeah it does and diabetes runs in my family so yeah and I know I can loose ur vision and stuff","You look so stupid with your carbonated sugary energy diabetes drink AT THE GYM.","@Danielle_Lehner dude theres like all these desserts in my house and idk why.. but diabetes","So sick of having diabetes could I just have one day without this shit pls","RT @bengoldacre: @BillBlackley yeah Id feel the same if the diabetes nurses starting teaching my kid about god instead of insulin","@IT_BOSS I think I may have given myself diabetes yesterday...","I think that jungle juice gave me diabetes last night","I cannot focus on studying Med Surg right now. Thank God I have #diabetes to make this test a little easier. #preach #Nursingstudentprobs","@BLeidholdt diabetes has never tasted better","He has diabetes...enough said...","How about you shut the fuck up because I know more about diabetes then you do","So Im at smiths talking about me having diabetes and I asked my mom if she thinks I have it and something falls of the shelf.... #imdead","@WhittakersNZ might have prevented my diabetes if i did use sante bars this way instead. Next time..."
"â€œ@F4KERY: tacos chicken nuggets French fries pastaâ€ How do you not have diabetes?","@BillBlackley yeah Id feel the same if the diabetes nurses starting teaching my kid about god instead of insulin","Reeaaaal bad day for the diabetes ðŸ˜”","Im gonna have diabetes after having all of this junk food or fall into a diabetic coma....oh well its worth it.","Not even diabetes will stop me from growing my toenails #mystrangeaddiction","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","Hey Im a Girl Scout and this is crazy, but heres some Thin Mints and diabetes maybe.","@OfficialAlexis4 If you do develop full on diabetes I have a NP on the payroll with a specialty in that. ;)","Math test: Bob has 36 candy bars. He eats 26. What does he have now?  Diabetes... Bob has diabetes.","both my parents have diabetes and the chances of me getting it too are scary good","RT @lauronH: they say to much sugar not good i believe it is to much of u thats not good and i wont stop so ima die wit diabetes @Dhatbeech","that sounds like diabetes","@IzabelZambrano if that was the least bit accurate I would be overly obese with all the different types of diabetes hahahaha","3 McDonalds meals in one weekend. I can feel the diabetes setting in","Biblical: the speedy stupid truth near diabetes!: SgFoqgD","#KnowYourAnon i have diabetes. ive had it for 8 years.","I would like to thank the red bull i shotgunned at 5am for diabetes...not my brightest moment #heartfailure","@TomTreharne23 you give me diabetes mate, fucking Kent","Wrapped hot pancakes around a twirl and it was the best thing ever , well worth the diabetes"
"I can say that I poked my finger THREE TIMES this weekend when we were playing with the diabetes monitor at my mothers house. #brave","Probably eaten my way to diabetes this week, thank god for college tomorow #fitness #detox","@suneey_ doesnt sound like a magnet for diabetes to me...lol!","@Nika_Howard The people on my I wish they had diabetes list still dont have diabetes.","All these desserts on my TL got me willn to get diabetes just to eat one of each","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@WhitneyAnnScott well I hope you dont have it but I also hope you find out whats wrong! I probably gave you diabetes","33.33% of the Jonas Brothers have diabetes","RT @Mick_Mataa: I dont know how all these girls dont have like diabetes yet all eat tons of junk food","Everytime I go eat at an Ihop I think....this may actually be the day I get the diabetes","Can I get out of a dissertation on the grounds it is really fucking with my diabetes?","everytime I eat something sweet I think about Isaiah saying ima have diabetes ðŸ™","When you have a girl that can cook you can fuck around and get diabetes high cholesterol all that shit","What a pleasure meeting @CarlingNolan at the @toledogolfshow yesterday. Nice chat about playing golf and diabetes.Support #JDRF if you can.","Cfod health communications industry: foods against synthesize adit yours throaty doughboy diabetes feed work out: qcA","By helping him with his diabetes Im helping myself.","RT @Tanner_baker_: Ate a dozen Krispy Kreme doughnuts by myself. I might have diabetes now ðŸ˜…","Joe Cross @philup1965 Off 2 buy a juicer today. Need 2 balance this life. Really not out of shape but robbed by depression and diabetes.","@starsandclouds_ Bless you, that does sound rather like diabetes. Hope its not, but if it is, you have support here )))hug((( x"
"wtf i dont wanna have diabetes ðŸ˜’","@utsagrad1998 hahah hes the kid in all the oooohkillem vines. apparently hes a young child (6-8), but definitely has adult diabetes.","They are so sweet.... I think I could die from diabetesâ™¥","@NicoleStorie123 for bio project do we do both type 1 and type 2 diabetes or do we do both? reply on here bc I got my phonw taken away","FYI: #diabetes linked to #tarsands #airpollution","He has diabetes...enough said...","@InsulinNation Sent you a typical online story re the #insulin market and Sanofi via email. If you dont get it, let me know.  #diabetes #T1","My moms convinced my cat has diabetes","Diabetes, Debbie has diabetes","I miss having a sugar momma. She died of diabetes","RT @DiabetesHeroes: With diabetes, you not only have to find a doctor who understands the human body you have to find one that understands â€¦","As your insurer we find you may have diabetes.We wish to review your premium&gt; You could get this if your med data sold. OPT OUT NOW","My mam told me Im going to get diabetes from all the chocolate I eat..","God cursed me with diabetes i feel like Im insane","I got a gallon jug of sweet tea from canes, diabetes is the goal","By helping him with his diabetes Im helping myself.","Girl Scout cookies: the leading cause of diabetes since 1912","Iv had diabetes for 18 years so my mom makes me a cake.... Okay makes sense LOL","RT @12ozCourage: I wonder how many doughnuts you have to defeat in order to make it to stage 3 diabetes."
"RT @beyonka_fierce: @TheRealTBOZ Too damn old to be on here this late stan waring, bitch drink yo diabetes meds + put your dentures on the â€¦","@PHadican I really dont have diabetes. Well not that I know of anyway!","I think I might need to go to the doctors but Im afraid hell test my blood and Ill be diabetes positive","I just ate like 7 samoas #livingontheedge #diabetes #crying","@Oddiance @PlainestPat @AlldayTPhil I bought you diabetes... I thought we had something special.","@ally_millerxo Im sorry babe, I cant control my diabetes","Whats the most annoying thing you get asked about your diabetes? Let me know!! #diabeticdolly","RT @iyanatalie: @jesskatemartin @ElenaPomfret @heather_amyy diabetes is definitely what they need","I swear im on the border line of diabetes..ðŸ˜‚ðŸ˜","Im not trying to romanticize it or anything but I find that people with diabetes are so interesting","Im like my Nans mum when it comes to her diabetes. If I see her go near anything she cant eat I shout at her","@CellarmanDC @The_Beermonger the keg we tapped at Smoke and Barrel recently,  even at 18 months was diabetes inducing","@thatTXgirl813 that looks really good.. It also looks like diabetes too lol","Detox week starting tomorrow..As I didnt learn anything from the diabetes inducing amount of chocolate I ate on Friday &amp; cont. all weekend!","I just saw a bake sale to benefit a childhood diabetes foundation.","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","-If you had diabetes... - I dont have diabetes, so shut the fuck up, you vermin.","Risk factors for #heartdisease that CAN be controlled: diabetes, smoking, high blood pressure, obesity/inactivity. #HeartMonth","I feel like Im giving all these people diabetes"
"@NorthernMichU Î‘Î“Î” hosts a philanthropy event every semester to raise money for diabetes research and education.","@ayeemarwee I had that dream too :) And I woke up with diabetes :)","@AlysaMath_eta. NO NO NO. Thats like a ticket to catching diabetes... NO NO No... be unselfish and save ur beauty","I cant wait for the day a cure for juvinille diabetes comes out. I wish for just one day of being normal ...  #jdrf","Someday we can say that diabetes was a illness in the past days?","By helping him with his diabetes Im helping myself.","RT @wav33y: Classic sive feeling left out cos she doesnt have diabetes","Seeing all these statuses about diabetes gets me irritated because I realize I need to study more... #juststop","God EDS and diabetes is a bad mix, my PA pointed the bruises out.","RT @LobbyComm: As your insurer we find you may have diabetes.We wish to review your premium&gt; You could get this if your med data sold. OPT â€¦","So $20 bucks later it says in the instructions that diabetic socks do nothing to PREVENT diabetes. Also, no diabetic condoms.","RT @amy_waddy: Probably eaten my way to diabetes this week, thank god for college tomorow #fitness #detox","new orleans popeyes tea , act like they got diabetes . ðŸ˜’","@kernal14 That has the word diabetes written all over it.","Dr. Talreja: Statins now recommended for 4 groups, inc. adults with LDL greater than 190 &amp; adults age 40-75 with diabetes. #CRT2014","@ally_millerxo Im sorry babe, I cant control my diabetes","@FilthyFrank The Filthy Frank Show is like diabetes with a side of autism","How do you try to stay positive while living with diabetes?","you may have diabetes"
"Hey @ellenjunko I spent the weekend walking to cure diabetes so the least you could do to repay me is tweet occasionally... #MISSYOUALREADY","Gotta step up and take better care of my diabetes! Plan on hitting the gym more, eating better, and checking my BG more often! #ICanDoThis","Why Dustin always gotta hate I think its the diabetes talking","woke up to like super long message from biffle ok i cri much diabetes ðŸ’•","There are more than 20 people being newly diagnosed with diabetes every hour.","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","RT @idiotgallant: So $20 bucks later it says in the instructions that diabetic socks do nothing to PREVENT diabetes. Also, no diabetic condâ€¦","RT @babekash_: new orleans popeyes tea , act like they got diabetes . ðŸ˜’","Papa johns going to far with the double cheeseburger pizza. Might as well serve diabetes on a plate....","Her diabetes aint no joke this the second time she been in the hospital","Need to register for the diabetes 10k at Greenwich park soon!ðŸƒðŸ‘Ÿ","Lottie thinks she can register for a didabled badge when she starts driving cause shes got diabetes etf haha","@Tayy_xoxo_ @ClaireDunderman serious?! Yeah it says unsweetened and its confirmed by the Israel diabetes association","I swear last Valentines day is sure to give me diabetes.","You trynna catch diabetes? @Sanele_Qwanell: Im goin to get fat because of this chocolate !","By helping him with his diabetes Im helping myself.","In other news I have diabetes?","Cookies arent made right unless you can taste the diabetes","@SmexyMillz a huge fuck off chocolate cake that would have  been enough to kill me with diabetes anyway."
"#than #yourRT @MaxJarJarBinks: @rodimusprime your stupider then I thought for saying that. And no Im not jealous of you and your diabetes","Itâ€™s great to feel high in everything except in diabetes .","Im gunna get diabetes from all this chocolate that mom buys me ðŸ™†ðŸ«","Teacher: John has 32 cookies and eats 28 of them. What does John have now? Me: Diabetes. John has diabetes.","Your dog is giving me diabetes. same","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","Oh youre so sweet Im gonna leave you because youre giving me diabetes you nasty murderer","RT @DarbsTheKing: â€œ@ChandOFmarch: I ate 14 donuts yesterday...and I have a weird tingling sensation in my legâ€ Diabetes, Chan has diabetes.","@somethingjp @NaultJoe My love for you is as incurable as your diabetes","Jack has 40 chocolate bars. He eats 35. What does Jack have now? Diabetes. Jack has diabetes.","We understand diabetes, we understand strokes and lung conditions,yet as much as theres a lot of research,depression is almost a mystery.","@IanAndersploosh for realla and we would he help saving a young buck from developing his own type of diabetes","FYI: #diabetes linked to #tarsands #airpollution","@madison_faith98 that shit looks like a helping of diabetes","I found the cure to diabetes today. Its called dont be a fat fuck. #eatasalad","@EllieHurwood stop bragging about your diabetes","Candy last night and candy today #cavities #diabetes","â€œ@_LipsLikeJAGGER: Dont eat fast food everyday, your more than likely to get diabetes.â€","I agree Jen should not be trying to discipline JT. I mean, if you recall earlier in the yelling, she was not even aware of his diabetes!"
"My dad: No, I got diabetes from those cookies.","@drlovegrove I once diagnosed myself with diabetes.","I fink its high time I stop buying ice cream for my girlfriend..she needs to knw dat shii causes diabetes. .","@TooFratty @santiar5 @SportsCenter He doesnt have diabetes. tho. Check out the video i tweeted santi","@xfranks biochemistry of insulin in glucose homeostasis and diabetes melitus :/ same. My brain wont be functioning at 9am.","By helping him with his diabetes Im helping myself.","Ive given myself the diabetes","RT @MorindaWorld: Start Improving your health, helps with chronic pain, fibromyalgia, diabetes and even cancer. Check out my site today!","@MrsRevexi at diabetes before you reach full puberty","I can feel the diabetes","Ate a dozen Krispy Kreme doughnuts by myself. I might have diabetes now ðŸ˜…","diabetes can actually be really scary and I dont like it","I dont know how all these girls dont have like diabetes yet all eat tons of junk food","So Im at Rallys and they have this shake called brownie batter (limited time only) and well that stuff looks like diabetes in a cup.","I hate when Im checking my blood sugar and kids are like eww blood thats nasty I have diabetes you tool screw off!!","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","@KeiranRichman @MyMindsAJoke and if someone was a pig enough to eat 27 candy bars?  he would get diabetes from his own gluttony  again #joke","Guess who fell off her platforms and broke her shoe and is now bleeding and  going to die of toe diabetes?","Honestly hate when I hear diabetes jokes and everyone looks at me like hi type one not type two but we both can still eat sugar"
